"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Gaskin et al. 2010)","Maize","cereal","Biomass",5.5,11,0,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",1,31.5,-83.5,0.134,1.143,0.143,0
"(Gaskin et al. 2010)","Maize","cereal","Biomass",5.5,11,0,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",2,31.5,-83.5,0.134,1.143,0.143,0
"(Gaskin et al. 2010)","Maize","cereal","Biomass",5.5,11,250,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",1,31.5,-83.5,0.182,1.2,0.2,0
"(Gaskin et al. 2010)","Maize","cereal","Grain",5.5,11,250,5.59,"NA","NA","NA","NA","NA","Light","Wood",400,"NA","NA",2,31.5,-83.5,0.206,1.229,0.229,0
"(Gaskin et al. 2010)","Maize","cereal","Biomass",5.5,22,0,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",2,31.5,-83.5,0.251,1.286,0.286,0
"(Gaskin et al. 2010)","Maize","cereal","Grain",5.5,22,0,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",1,31.5,-83.5,0.256,1.291,0.291,0
"(Gaskin et al. 2010)","Maize","cereal","Biomass",5.5,11,250,5.59,"NA","NA","NA","NA","NA","Light","Wood",400,"NA","NA",2,31.5,-83.5,0.259,1.295,0.295,0
"(Gaskin et al. 2010)","Maize","cereal","Grain",5.5,11,0,5.59,"NA","NA","NA","NA","NA","Light","Wood",400,"NA","NA",2,31.5,-83.5,0.351,1.42,0.42,0
"(Gaskin et al. 2010)","Maize","cereal","Biomass",5.5,22,0,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",1,31.5,-83.5,0.389,1.476,0.476,0
"(Gaskin et al. 2010)","Maize","cereal","Grain",5.5,22,0,5.59,"NA","NA","NA","NA","NA","Light","Nonwood",400,"NA","NA",2,31.5,-83.5,0.393,1.482,0.482,0
"(Gaskin et al. 2010)","Maize","cereal","Grain",5.5,22,0,5.59,"NA","NA","NA","NA","NA","Light","Wood",400,"NA","NA",2,31.5,-83.5,0.438,1.549,0.549,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,50,0,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.244,0.784,-0.216,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,5,80,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.195,0.823,-0.177,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,5,0,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.186,0.831,-0.169,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,10,80,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.163,0.849,-0.151,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,5,10,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.101,0.904,-0.096,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,10,0,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.097,0.907,-0.093,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,20,0,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.081,0.922,-0.078,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,50,20,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.047,0.954,-0.046,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,10,20,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,-0.023,0.977,-0.023,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,20,20,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.011,1.011,0.011,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,5,20,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.055,1.057,0.057,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,10,10,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.093,1.097,0.097,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,20,80,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.14,1.15,0.15,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,50,80,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.14,1.15,0.15,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,5,100,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.162,1.176,0.176,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,50,10,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.164,1.178,0.178,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,10,100,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.252,1.287,0.287,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,20,10,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.304,1.355,0.355,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,20,100,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.341,1.407,0.407,0
"(Gathorne-Hardy 2012)","Barley","cereal","Biomass",,50,100,"NA","NA","NA","NA","NA","NA","Light",,"NA","NA","NA",1,51.75,-0.25,0.348,1.416,0.416,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,66.155,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,-0.517,0.596,-0.404,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,87.677,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,-0.324,0.723,-0.277,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,30,109.199,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,3,42.72,-76.65,-0.253,0.776,-0.224,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,30,109.199,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,2,42.72,-76.65,-0.189,0.828,-0.172,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,3,109.199,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,2,42.72,-76.65,-0.176,0.839,-0.161,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,30,109.199,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,-0.161,0.851,-0.149,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,1,109.199,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,-0.137,0.872,-0.128,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,3,109.199,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,-0.137,0.872,-0.128,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,109.199,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,2,42.72,-76.65,-0.133,0.875,-0.125,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,109.199,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,-0.112,0.894,-0.106,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,30,109.199,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,4,42.72,-76.65,-0.109,0.897,-0.103,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,109.199,7.22,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,3,42.72,-76.65,-0.073,0.929,-0.071,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,66.155,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,2,42.72,-76.65,-0.029,0.971,-0.029,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,87.677,7.3,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,3,42.72,-76.65,-0.025,0.975,-0.025,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,87.677,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,4,42.72,-76.65,-0.024,0.976,-0.024,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,3,109.199,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,4,42.72,-76.65,-0.012,0.989,-0.011,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,109.199,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,4,42.72,-76.65,-0.012,0.989,-0.011,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,3,109.199,7.48,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,3,42.72,-76.65,0,1,0,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,119.96,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,4,42.72,-76.65,0,1,0,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,66.155,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,4,42.72,-76.65,0.014,1.014,0.014,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,66.155,7.32,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,3,42.72,-76.65,0.015,1.015,0.015,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,119.96,7.36,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,1,42.72,-76.65,0.043,1.044,0.044,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,119.96,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,2,42.72,-76.65,0.092,1.096,0.096,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,87.677,7.4444444,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,2,42.72,-76.65,0.103,1.108,0.108,0
"(Guerena 2012)","Maize","cereal","Grain",5.5,12,119.96,7.5,9.76,16.2,0.42,0.31,0.27,"Medium","Nonwood",600,0.29,10.02,3,42.72,-76.65,0.237,1.267,0.267,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",2,14.18,121.25,-0.134,0.874,-0.126,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,"NA",3,15.25,104.75,-0.118,0.888,-0.112,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,8.6,1,14.18,121.25,-0.101,0.904,-0.096,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",4,14.18,121.25,-0.084,0.92,-0.08,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",2,14.18,121.25,-0.075,0.927,-0.073,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",2,14.18,121.25,-0.044,0.957,-0.043,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",4,14.18,121.25,-0.038,0.963,-0.037,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",4,14.18,121.25,-0.03,0.971,-0.029,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",3,14.18,121.25,-0.013,0.988,-0.012,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,8.6,1,14.18,121.25,-0.008,0.992,-0.008,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",2,14.18,121.25,-0.006,0.994,-0.006,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",3,14.18,121.25,0,1,0,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",3,14.18,121.25,0.002,1.002,0.002,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",4,14.18,121.25,0.005,1.005,0.005,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,4.1,23.5,36.4,0.364,0.07,0.43,"Medium","Nonwood","NA",0.397094431,"NA",3,14.5,121.5,0.013,1.013,0.013,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,6.5,34.1,15.3,0.153,0.21,0.37,"Heavy","Nonwood","NA",0.397094431,"NA",3,14.18,121.25,0.028,1.028,0.028,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,4.1,23.5,36.4,0.364,0.07,0.43,"Medium","Nonwood","NA",0.397094431,"NA",2,14.5,121.5,0.031,1.031,0.031,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,8.6,1,15.25,104.75,0.037,1.038,0.038,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.1,23.5,36.4,0.364,0.07,0.43,"Medium","Nonwood","NA",0.397094431,"NA",3,14.5,121.5,0.061,1.063,0.063,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,4.1,23.5,36.4,0.364,0.07,0.43,"Medium","Nonwood","NA",0.397094431,"NA",2,14.5,121.5,0.092,1.096,0.096,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,4.1,23.5,36.4,0.364,0.07,0.43,"Medium","Nonwood","NA",0.397094431,8.6,1,14.5,121.5,0.1,1.105,0.105,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,8.6,1,15.25,104.75,0.114,1.121,0.121,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,"NA",4,15.25,104.75,0.153,1.166,0.166,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,60,4.1,23.5,36.4,0.364,0.07,0.43,"Medium","Nonwood","NA",0.397094431,8.6,1,14.5,121.5,0.157,1.169,0.169,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,"NA",2,15.25,104.75,0.236,1.266,0.266,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,"NA",2,15.25,104.75,0.236,1.266,0.266,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,"NA",3,15.25,104.75,0.278,1.32,0.32,0
"(Haefele et al. 2011)","Rice","cereal","Grain",4.5,41.3,40,4.8,1.7,3.4,0.034,0.77,0.18,"Medium","Nonwood","NA",0.397094431,"NA",4,15.25,104.75,0.302,1.353,0.353,0
"(Hossain et al. 2010) ","Tomato","fruit","Grain",,10,120,4.6,"NA","NA","NA","NA","NA","Medium","Manure",550,"NA",8.2,1,-34.12,150.5,0.128,1.136,0.136,1
"(Hossain et al. 2010) ","Tomato","fruit","Biomass",,10,120,4.6,"NA","NA","NA","NA","NA","Medium","Manure",550,"NA",8.2,1,-34.12,150.5,0.14,1.15,0.15,1
"(Hossain et al. 2010) ","Tomato","fruit","Biomass",,10,0,4.6,"NA","NA","NA","NA","NA","Medium","Manure",550,"NA",8.2,1,-34.12,150.5,0.182,1.2,0.2,1
"(Hossain et al. 2010) ","Tomato","fruit","Grain",,10,0,4.6,"NA","NA","NA","NA","NA","Medium","Manure",550,"NA",8.2,1,-34.12,150.5,0.517,1.678,0.678,1
"(Hua et al. 2012)","Ryegrass","grass","Biomass",,"NA","NA",7.22,"NA","NA","NA","NA","NA","Medium","Wood",600,"NA","NA",1,"NA","NA",0.127,1.135,0.135,1
"(Hua et al. 2012)","Fescue","grass","Biomass",,"NA","NA",5.41,"NA","NA","NA","NA","NA","Medium","Wood",600,"NA","NA",1,"NA","NA",0.14,1.15,0.15,1
"(Hua et al. 2012)","Fescue","grass","Biomass",,"NA","NA",7.22,"NA","NA","NA","NA","NA","Medium","Wood",600,"NA","NA",1,"NA","NA",0.167,1.182,0.182,1
"(Hua et al. 2012)","Ryegrass","grass","Biomass",,"NA","NA",5.41,"NA","NA","NA","NA","NA","Medium","Wood",600,"NA","NA",1,"NA","NA",0.248,1.281,0.281,1
"(Ishii & Kadoya 1994)","Satsuma trees","tree","Biomass",,65,0,"NA","NA","NA","NA","NA","NA","Light","Wood","NA","NA","NA",1,33.5,133,0.425,1.53,0.53,1
"(Ishii & Kadoya 1994)","Satsuma trees","tree","Biomass",,65,0,"NA","NA","NA","NA","NA","NA","Light","Nonwood","NA","NA","NA",1,33.5,133,0.454,1.575,0.575,1
"(Ishii & Kadoya 1994)","Satsuma trees","tree","Biomass",,65,0,"NA","NA","NA","NA","NA","NA","Light","Nonwood","NA","NA","NA",1,33.5,133,0.478,1.613,0.613,1
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.56,0.571,-0.429,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.467,0.627,-0.373,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.253,0.776,-0.224,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.253,0.776,-0.224,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.253,0.776,-0.224,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.234,0.791,-0.209,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.181,0.834,-0.166,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",-0.11,0.896,-0.104,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.026,1.026,0.026,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.041,1.041,0.041,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.129,1.138,0.138,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.148,1.159,0.159,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.254,1.289,0.289,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.281,1.324,0.324,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.326,1.386,0.386,0
"(Islam & Ani 2000)","Sweet potato","root","Biomass",,"NA","NA",5.9,"NA",12.5,"NA","NA","NA",,"Nonwood","NA","NA","NA",1,"NA","NA",0.341,1.407,0.407,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,1,-8,112.5,0.082,1.085,0.085,0
"(Islami et al. 2011)","Peanut","legume","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,1,-8,112.5,0.095,1.1,0.1,0
"(Islami et al. 2011)","Peanut","legume","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,1,-8,112.5,0.095,1.1,0.1,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,2,-8,112.5,0.1,1.105,0.105,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,2,-8,112.5,0.105,1.111,0.111,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,1,-8,112.5,0.11,1.116,0.116,0
"(Islami et al. 2011)","Maize","cereal","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,1,-8,112.5,0.121,1.129,0.129,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,1,-8,112.5,0.125,1.133,0.133,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,1,-8,112.5,0.126,1.134,0.134,0
"(Islami et al. 2011)","Maize","cereal","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,1,-8,112.5,0.28,1.323,0.323,0
"(Islami et al. 2011)","Maize","cereal","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,2,-8,112.5,0.288,1.333,0.333,0
"(Islami et al. 2011)","Peanut","legume","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,2,-8,112.5,0.357,1.429,0.429,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Nonwood",285,0.4042,8.1,2,-8,112.5,0.373,1.451,0.451,0
"(Islami et al. 2011)","Maize","cereal","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,2,-8,112.5,0.418,1.519,0.519,0
"(Islami et al. 2011)","Peanut","legume","Grain",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,2,-8,112.5,0.452,1.571,0.571,0
"(Islami et al. 2011)","Cassava","root","Biomass",,15,"NA",6.49,"NA",6.5,"NA","NA","NA",,"Manure",270,0.2555,7.9,2,-8,112.5,0.477,1.611,0.611,0
"(Jia et al. 2012)","Choi sum","vegetable","Biomass",,40,400,5.8,"NA",17.4,0.035,0.694,0.271,"Medium","Nonwood",400,0.5113,"NA",1,32,118.75,-0.039,0.962,-0.038,1
"(Jia et al. 2012)","Choi sum","vegetable","Biomass",,20,400,5.8,"NA",17.4,0.035,0.694,0.271,"Medium","Nonwood",400,0.5113,"NA",1,32,118.75,0.167,1.182,0.182,1
"(Jia et al. 2012)","Choi sum","vegetable","Biomass",,30,400,5.8,"NA",17.4,0.035,0.694,0.271,"Medium","Nonwood",400,0.5113,"NA",1,32,118.75,0.675,1.963,0.963,1
"(Jia et al. 2012)","Choi sum","vegetable","Biomass",,30,400,5.8,"NA",17.4,0.035,0.694,0.271,"Medium","Nonwood",400,0.5113,"NA",1,32,118.75,0.707,2.029,1.029,1
"(Jones et al. 2011)","Maize","cereal","Biomass",,25,100,6.86,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,1,53.25,-4,-0.039,0.962,-0.038,0
"(Jones et al. 2011)","Maize","cereal","Biomass",,50,100,6.86,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,1,53.25,-4,0,1,0,0
"(Jones et al. 2011)","Forage grass","grass","Biomass",,25,100,6.86,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,2,53.25,-4,0.045,1.047,0.047,0
"(Jones et al. 2011)","Forage grass","grass","Biomass",,50,100,6.86,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,2,53.25,-4,0.299,1.349,0.349,0
"(Jones et al. 2011)","Forage grass","grass","Biomass",,25,100,6.86,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,3,53.25,-4,0.537,1.711,0.711,0
"(Jones et al. 2011)","Forage grass","grass","Biomass",,50,100,6.86,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,3,53.25,-4,0.582,1.789,0.789,0
"(Kammann et al. 2011)","Quinoa","cereal","Grain",,200,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,-0.262,0.769,-0.231,1
