Reference,Feedstock,Pyrolysis_temperature,Other,C,C_org,C_inorg,H,N,O,O_to_C,Aromaticity,Ash,VM,Fixed_Carbon,Time_of_experiment_yrs,H_to_Corg,H_C_used,C1,C2,C3,k1,k2,k3,Temp_of_experiment
Fang et al 2019 EJSS 70,Eucalyptus saligna wood,450,2% labile OM addition,674,,0,,5.2,,,,,,,2.86037735849057,0.603554794396683,0.603554794396683,0.771099423811656,99.2289005761883,0,279.945741558651,0.003116500582031,0,20
Fang et al 2019 EJSS 70,Eucalyptus saligna wood,450,4% labile OM addition,674,,0,,5.2,,,,,,,2.86037735849057,0.603554794396683,0.603554794396683,1.03387862213364,98.9661213778664,0,261.925747409045,0.003186955617735,0,20
Fang et al 2019 EJSS 70,Eucalyptus saligna wood,550,0% labile OM addition,731.9,,0,,6.2,,,,,,,2.86037735849057,0.480259431477815,0.480259431477815,0.453031371316678,99.5469686286833,0,149.362230761705,0.001022957959147,0,20
Fang et al 2019 EJSS 70,Eucalyptus saligna wood,550,1% labile OM addition,731.9,,0,,6.2,,,,,,,2.86037735849057,0.480259431477815,0.480259431477815,0.282743522954183,99.7172564770458,0,102.843553916631,0.001555956848486,0,20
Fang et al 2019 EJSS 70,Eucalyptus saligna wood,550,2% labile OM addition,731.9,,0,,6.2,,,,,,,2.86037735849057,0.480259431477815,0.480259431477815,0.349076584023092,99.6509234159769,0,124.108170684288,0.00170995057442,0,20
Fang et al 2019 EJSS 70,Eucalyptus saligna wood,550,4% labile OM addition,731.9,,0,,6.2,,,,,,,2.86037735849057,0.480259431477815,0.480259431477815,0.61725934635378,99.3827406536462,0,178.214888431032,0.001763597016842,0,20
Herath et al 2014 GCB Bioenergy,"corn stover, 350C,  36°C min",350,Alfisol,635,,,37.7,7.1,,,68,9.8,31.2,57.2,1.4027397260274,0.68,0.68,0.9,66.6,32.5,199.801,0.146,0.01095,19
Herath et al 2014 GCB Bioenergy,"corn stover., 550C, 51 °C min",550,Alfisol,717,,,29.2,7.6,,,85,11.5,18.5,67.4,1.4027397260274,0.47,0.47,1.1,12.4,86.5,250.901,0.8395,0.01095,19
Herath et al 2014 GCB Bioenergy,"corn stover, 350C,  36°C min",350,Andisol,635,,,37.7,7.1,,,68,9.8,31.2,57.2,1.4027397260274,0.68,0.68,3.3,15.7,81,65.116,0.876,0.01095,19
Herath et al 2014 GCB Bioenergy,"corn stover., 550C, 51 °C min",550,Andisol,717,,,29.2,7.6,,,85,11.5,18.5,67.4,1.4027397260274,0.47,0.47,3.2,17.1,79.8,58.838,0.949,0.01095,19
Kuzyakov et al 2014,Lolium Perenne,400,Soil,,,,,,,,,,,,,,,1.592,1.245,97.163,187.18,2.52,0.00338,20
Kuzyakov et al 2014,Lolium Perenne,400,Loess,,,,,,,,,,,,,,,1.834,2.046,96.12,24.877376269,0.358428447,0.002445464,20
Liu et al 2020 Science of the Total Environment 718 137390,wheat straw,200,2.5 hours,505,,,,,,,,,,,,1.3682,,1.54329731312416,98.4567026868758,0,49.7320949113579,0.052578019449026,0,23
Liu et al 2020 Science of the Total Environment 718 137391,wheat straw,300,2.5 hours,645,,,,,,,,,,,,0.8463,,0.262248593823814,99.7377514061762,0,92.6478873274123,0.012325269591293,0,23
Liu et al 2020 Science of the Total Environment 718 137392,wheat straw,300,10 hours,623,,,,,,,,,,,,0.8167,,0.366876890848067,99.6331231091519,0,36.3050731584772,0.010113143937373,0,23
Liu et al 2020 Science of the Total Environment 718 137393,wheat straw,500,2.5 hours,657,,,27.3,25.3,96.2,,,20.7,,,1.01098901098901,0.4951,0.4951,0.250359728390729,99.7496402716093,0,7.41009081181086,0.004405576374475,0,23
Liu et al 2020 Science of the Total Environment 718 137394,wheat straw,500,10 hours,594,,,26.3,22.7,100,,,20.8,,,1.01098901098901,0.5276,0.5276,0.271165380874789,99.7288346191252,0,12.4012546846064,0.004096354334214,0,23
Major et al 2010,,500,,676,,,,2.9,,0.16875,n/a,10.4,,,2,0.288,0.288,1.81778667212347,98.1822133278765,0,2.657961126811,0.002471920491,0,26
Singh BP et al 2015 PlosONE,Eucalyptus saligna wood,450,clay- and C-poor Arenosol,667.9,,1.3,,,,,57.2,,,,1,0.63,0.63,0.582847168598125,99.4171528314019,0,15.4764510020367,0.014059044513854,0,17.3
Singh BP et al 2015 PlosONE,Eucalyptus saligna wood,450,clay- and C-rich Cambisol,667.9,,1.3,,,,,57.2,,,,1,0.63,0.63,2.14190931082517,97.8580906891748,0,6.31952095759537,0.025563825803155,0,17.3
Singh BP et al 2015 PlosONE,Eucalyptus saligna wood,450,"clay-, C- and earthworm-rich Ferralsol",667.9,,1.3,,,,,57.2,,,,1,0.63,0.63,4.42926353149797,95.570736468502,0,2.38096824447817,0.035177065578353,0,12.3
