"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","area_best_km2","area_viable_km2","biomass_processed_yr_mg","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"Europe",150,0.15,FALSE,FALSE,250,"BES",1281883.13683078,248845.870371753,3736004.09368583,-171.182495142933,124.482232270437,-20.2691596582306,NA,87.0768737470913,89.3722245620168,4.28986677897681,78.077531062064,0,0.340535726794447,51.080359019167,1.472501178,100.390103725655,NA,116.631229209826,Inf,0,211.424031218349
"Europe",150,0.15,FALSE,FALSE,250,"BECCS",2270590.03720609,1207792.92266315,36153125.59481,-162.606287055141,131.114097305113,8.5271818249231,920.799975874526,77.1699363133715,113.544747359785,5.67723736798925,76.591490447004,136.953537188605,1.70450033941504,255.675050912254,1.3743344328,85.6191432760584,NA,242.129575175834,195.191219431055,1.0760734466004,268.607929679724
"Europe",150,0.15,FALSE,FALSE,250,"BEBCS",1160279.87446837,NA,NA,-141.669058048828,-22.024080683439,-78.6965183566062,NA,139.990888425464,132.576014453012,20.1831186695239,86.0146332638196,0,0.749362705725345,112.404405858802,0.75264329023612,35.4414807532559,12.2313614176963,300.99571458026,319.580614550993,1.18957558384238,358.74274277852
"India",150,0.15,FALSE,FALSE,250,"BES",560547.807550981,553193.226198797,29853728.3056806,-42.9875610871185,63.1383967005053,30.8531899400768,NA,62.4498978427782,89.3722245620168,4.28986677897681,59.2131989621311,0,0.844635838164174,126.695375724626,1.472501178,57.0331045185751,NA,103.820148049569,181.08181752284,0,211.424031218349
"India",150,0.15,FALSE,FALSE,250,"BECCS",2335768.51419368,2335768.51419368,130071754.790148,4.39072606100507,227.6759295592,95.916357303606,958.791595733093,44.1172695225411,113.544747359785,5.67723736798925,46.1572809221176,149.46227025352,2.3737437124663,356.061556869942,1.3743344328,54.6963363370742,NA,229.086551562248,132.637174125963,1.49857557605195,268.607929679724
"India",150,0.15,FALSE,FALSE,250,"BEBCS",13242.8495819453,13242.8495819453,38059.5694623865,1.70510531549471,8.80270457401971,4.42885080514155,NA,128.46106537501,132.576014453012,20.1831186695239,86.6691598062515,0,1.04103146447253,156.15471967088,0.75264329023612,29.503616977256,58.198807085793,240.790674937311,229.993177037451,2.00597966311997,358.74274277852
"US",200,0.15,FALSE,FALSE,250,"BES",NA,NA,NA,NA,NA,NA,NA,NA,89.3722245620168,4.28986677897681,NA,0,NA,NA,1.472501178,NA,NA,NA,NA,0,211.424031218349
"US",200,0.15,FALSE,FALSE,250,"BECCS",4098017.49260654,3831022.96529577,14496445.0198668,-63.2325446087254,293.825032016525,95.9905087761896,887.444451471244,224.058035387479,113.544747359785,5.67723736798925,133.668705308122,130.562539240927,2.06127576914499,412.255153828998,1.3743344328,67.1885842240135,NA,279.010130376779,187.724071634205,1.30131046031881,268.607929679724
"US",200,0.15,FALSE,FALSE,250,"BEBCS",15423.8891700755,NA,NA,-115.312400533261,-53.7756323332027,-65.7920921870685,NA,422.351712578668,132.576014453012,20.1831186695239,163.4127568868,0,0.959842524030847,191.968504806169,0.75264329023612,34.5031755956983,23.9081174203994,388.316452668098,330.460399007444,1.44984140141162,358.74274277852
"China",200,0.15,FALSE,FALSE,250,"BES",11205.4722721642,9274.38137724588,923251.584793364,-48.6308969072252,25.8968984673307,8.97871656950977,NA,72.7453589745288,89.3722245620168,4.28986677897681,50.9118038461793,0,0.561473978657942,112.294795731588,1.472501178,41.2578160250943,NA,98.182532786519,257.760908565744,0,211.424031218349
"China",200,0.15,FALSE,FALSE,250,"BECCS",3000909.02667662,3000909.02667662,197360329.482712,10.5375725604305,290.324426305644,123.311641085137,1421.61334396056,46.787187504398,113.544747359785,5.67723736798925,47.0180781256594,180.433168232806,2.11015322816793,422.030645633585,1.3743344328,47.9542265377868,NA,252.248086646527,164.304181921317,1.33216744202521,268.607929679724
"China",200,0.15,FALSE,FALSE,250,"BEBCS",2014468.01241277,1989731.34895074,55928349.2250091,-26.6223057630052,73.5974192889619,36.3727152133553,NA,97.9961070864453,132.576014453012,20.1831186695239,54.6994160629671,0,1.00515979621258,201.031959242516,0.75264329023612,20.9934126718392,21.8058924845007,246.667523791727,206.642918635198,1.61445197690962,358.74274277852
"Europe",200,0.15,FALSE,FALSE,250,"BES",218105.457630241,213985.332545071,2421793.98458797,-157.244894623824,186.013349858778,84.6096317559287,NA,116.387096412345,89.3722245620168,4.28986677897681,82.4740644618515,0,0.832071345856226,166.414269171245,1.472501178,94.33151838753,NA,119.616988043486,447.009192034972,0,211.424031218349
"Europe",200,0.15,FALSE,FALSE,250,"BECCS",3260089.22954817,2923502.21624523,82841415.9036873,-127.479792760472,224.600597394068,72.8294671740554,1256.22794193975,81.7274845863417,113.544747359785,5.67723736798925,77.2751226879491,163.145188933932,1.73571575041094,347.143150082186,1.3743344328,85.3286134415356,NA,261.684701893804,207.334489673907,1.09578014546144,268.607929679724
"Europe",200,0.15,FALSE,FALSE,250,"BEBCS",1234558.3613269,59908.6213790568,551566.779147107,-104.103215138936,58.6837849399996,-34.9645567022041,NA,129.447914977677,132.576014453012,20.1831186695239,84.4331872466516,0,0.746460122746845,149.292024549369,0.75264329023612,40.5014705537053,12.4342685639112,298.624932582292,318.898626243728,1.20586458715052,358.74274277852
"India",200,0.15,FALSE,FALSE,250,"BES",98105.5128407615,97985.2418155674,728146.548529121,-2.42875116552605,95.8055184528279,56.3114606344561,NA,91.7361936717702,89.3722245620168,4.28986677897681,74.358455366555,0,0.841707208581272,168.341441716255,1.472501178,55.9905656257496,NA,114.105543151931,199.690570937142,0,211.424031218349
"India",200,0.15,FALSE,FALSE,250,"BECCS",2801518.23641953,2801518.23641953,159211076.373827,51.0147494174307,346.46275012651,200.894007764004,1136.60559364683,46.4321218777845,113.544747359785,5.67723736798925,47.9352753200588,161.136885368018,2.37351222723078,474.702445446155,1.3743344328,54.4857077337034,NA,238.875005661469,138.32195015284,1.49842943638306,268.607929679724
"India",200,0.15,FALSE,FALSE,250,"BEBCS",9935.42206638684,9935.42206638684,44547.7323879215,41.1788482791815,91.7655899135463,59.2914467038863,NA,87.4944594311458,132.576014453012,20.1831186695239,73.5693302049945,0,1.1956286457531,239.12572915062,0.75264329023612,28.6004450289726,17.8937358518235,276.936937032038,189.347541706723,1.7867659465236,358.74274277852
